Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,1200,1253,1420,1481,1499,1473,1261,1248,10835,325050,,
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,151,148,170,181,163,104,156,139,1212,36360,,
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,492,570,640,657,429,229,324,423,3764,112920,,
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,AREA TECA-COCORNA,TECA-COCORNA,77,80,80,73,71,65,48,51,545,16350,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,10438,9792,10159,9852,9707,9397,9283,9394,78022,2340660,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,1737,1822,1687,1665,1740,1751,1780,1868,14050,421500,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,PEÑAS BLANCAS,MAGDALENA MEDIO-CASABE,959,940,961,928,924,919,881,809,7321,219630,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,19875,19959,19961,20317,20105,19351,14144,18306,152018,4560540,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO YARUMAL,CRAVO NORTE,2590,2480,2395,2526,2567,2296,1446,2571,18871,566130,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,4073,4116,4599,5034,5288,5201,4890,4662,37863,1135890,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,GALEMBO,CHIPIRÓN,53,55,57,64,67,64,54,54,468,14040,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,MACANA,CHIPIRÓN,77,48,194,233,192,187,174,101,1206,36180,,
